"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R4,R5,R6";"R_0201_0603Metric";3;"330R";;;
2;"R2";"R_0805_2012Metric";1;"470k";;;
3;"R22,R20,R35,R21";"R_0805_2012Metric";4;"10";;;
4;"R60";"R_0805_2012Metric";1;"0R";;;
5;"R18";"R_0805_2012Metric";1;"47k";;;
6;"R3";"R_0805_2012Metric";1;"16k";;;
7;"R47";"R_0805_2012Metric";1;"1k";;;
8;"R7,R8";"R_0805_2012Metric";2;"4.7k";;;
9;"R9";"R_0805_2012Metric";1;"0";;;
10;"R17";"R_0805_2012Metric";1;"4.99k";;;
11;"R16";"R_0805_2012Metric";1;"69.8k";;;
12;"R23";"R_0805_2012Metric";1;"22";;;
13;"R1";"R_0201_0603Metric";1;"196k";;;
14;"R32,R9";"R_4020_10251Metric";2;"2m";;;
15;"C4";"CP_Radial_D10.0mm_P5.00mm";1;"10uF 100V";;;
16;"J3";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"5V";;;
17;"C6,C5";"C_0805_2012Metric";2;"100nF 100V";;;
18;"J5";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"MCU GİRİŞİ";;;
19;"TP2,TP1,TP4,TP3";"TestPoint_Pad_D2.0mm";4;"TestPoint";;;
20;"C28,C10";"CP_Elec_4x5.3";2;"22uF 10V";;;
21;"Q2,Q1";"PinSocket_1x03_P2.54mm_Vertical";2;"STP75NF75";;;
22;"C1,C40";"C_0805_2012Metric";2;"100nF 25V";;;
23;"D11";"D_SMB";1;"SMBJ58A";;;
24;"C41,C9,C27";"CP_Elec_5x5.3";3;"10uF 35V";;;
25;"J2";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"12V";;;
26;"C11,C12";"C_0805_2012Metric";2;"100nF 25v";;;
27;"D8,D7";"LED_0805_2012Metric";2;"LED_kırmızı";;;
28;"C3,C7";"CP_Radial_D8.0mm_P5.00mm";2;"47uF 25V";;;
29;"D3,D6";"D_SMA";2;"US1M-13-F";;;
30;"J7,J8";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";2;"LOAD";;;
31;"J4";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"3V3";;;
32;"C2";"C_0805_2012Metric";1;"22pF 25V";;;
33;"U6";"SOT-223-3_TabPin2";1;"LM1117S-5.0";;;
34;"D9,D5";"D_SOD-123";2;"1N4148W";;;
35;"F1";"Fuse_Littelfuse_395Series";1;"2A 125V Slow-Blow";;;
36;"C20";"CP_Elec_4x5.3";1;"1uF 50V";;;
37;"U7";"SOT-223-3_TabPin2";1;"LT1117-3.3";;;
38;"C16";"C_0805_2012Metric";1;"4.7nF 25V";;;
39;"D2";"D_SOD-128";1;"PMEG6030EVP";;;
40;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"IR2101";;;
41;"J6";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"MOSFET ÇIKIŞLARI";;;
42;"L2";"L_12x12mm_H8mm";1;"24uH";;;
43;"C26";"CP_Radial_D10.0mm_P5.00mm";1;"100uF 100V";;;
44;"J1";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"GÜÇ GİRİŞİ";;;
45;"U1";"TI_SO-PowerPAD-8_ThermalVias";1;"TPS54360DDA";;;
46;"R13";"R_0201_0603Metric";1;"1k";;;
47;"D1";"LED_0805_2012Metric";1;"LED";;;
